algorithm_name,best_fitness,parameter_name,parameter_value
FA,1.2198056076211409e-05,alpha,0.1
FA,7.047038775060769e-05,alpha,0.2
FA,0.00013978314558314508,alpha,0.30000000000000004
FA,0.00020092454047279516,alpha,0.4
FA,0.0003395106158421994,alpha,0.5
FA,0.000494233722787449,alpha,0.6
FA,0.0006006769715195372,alpha,0.7000000000000001
FA,0.0009380706570715942,alpha,0.8
FA,0.0011795273378583176,alpha,0.9
FA,0.001717563359258842,alpha,1.0
FA,0.00023941751901878389,beta0,0.5
FA,0.00017997776561912105,beta0,0.6666666666666666
FA,0.0002473933149702473,beta0,0.8333333333333333
FA,0.0003395106158421994,beta0,1.0
FA,0.0006900747619116985,beta0,1.1666666666666665
FA,0.0018996162950287506,beta0,1.3333333333333333
FA,0.0029324166561548576,beta0,1.5
FA,0.012865860039767222,beta0,1.6666666666666665
FA,0.1844395663789111,beta0,1.8333333333333333
FA,2.0200118440780024,beta0,2.0
FA,0.00041192503167201966,gamma,0.001
FA,0.0003463562462102162,gamma,0.012
FA,0.00040040658260120503,gamma,0.023000000000000003
FA,0.00044389077882581873,gamma,0.034
FA,124.04147856629464,gamma,0.045000000000000005
FA,123.03432831224166,gamma,0.05600000000000001
FA,123.03697738610947,gamma,0.067
FA,123.03721284550937,gamma,0.07800000000000001
FA,123.03723470557175,gamma,0.08900000000000001
FA,123.0372368028268,gamma,0.1
ABC,0.30171954126591916,limit,10.0
ABC,0.0036576923833904736,limit,20.0
ABC,0.02633487970382543,limit,30.0
ABC,0.007299803847868992,limit,40.0
ABC,0.0002748739455661857,limit,50.0
ABC,0.0002748739455661857,limit,60.0
ABC,0.0002748739455661857,limit,70.0
ABC,0.0002748739455661857,limit,80.0
ABC,0.0002748739455661857,limit,90.0
ABC,0.0002748739455661857,limit,100.0
Cuckoo,1.9731981888194694,pa,0.1
Cuckoo,3.0130322443904753,pa,0.14444444444444446
Cuckoo,2.627010135291707,pa,0.18888888888888888
Cuckoo,3.1540616462100877,pa,0.23333333333333334
Cuckoo,2.591009951883868,pa,0.2777777777777778
Cuckoo,3.3053864495337453,pa,0.32222222222222224
Cuckoo,4.194271394012504,pa,0.3666666666666667
Cuckoo,3.2888697233603392,pa,0.4111111111111111
Cuckoo,4.262578413697359,pa,0.4555555555555556
Cuckoo,4.068833288122375,pa,0.5
Cuckoo,5.698978201651418,alpha,0.001
Cuckoo,2.562404858719181,alpha,0.012
Cuckoo,1.5918079478654423,alpha,0.023000000000000003
Cuckoo,1.15479722984784,alpha,0.034
Cuckoo,0.6570391852667207,alpha,0.045000000000000005
Cuckoo,0.5092804029101513,alpha,0.05600000000000001
Cuckoo,0.3572867404236421,alpha,0.067
Cuckoo,0.33024763162705206,alpha,0.07800000000000001
Cuckoo,0.2319840285811074,alpha,0.08900000000000001
Cuckoo,0.23839650327132086,alpha,0.1
Cuckoo,1.065902875460668,beta,1.0
Cuckoo,1.3396069800021448,beta,1.1111111111111112
Cuckoo,2.2384802872460647,beta,1.2222222222222223
Cuckoo,2.6238416562904687,beta,1.3333333333333333
Cuckoo,2.707672762602046,beta,1.4444444444444444
Cuckoo,3.282542723149291,beta,1.5555555555555556
Cuckoo,3.832104498504537,beta,1.6666666666666665
Cuckoo,3.174598583819738,beta,1.7777777777777777
Cuckoo,6.320059649627576,beta,1.8888888888888888
Cuckoo,6.112773017027409,beta,2.0
PSO,22.09219227004376,w,0.1
PSO,29.84476298542431,w,0.2
PSO,21.235765237681463,w,0.30000000000000004
PSO,1.8116591924623178,w,0.4
PSO,0.8858132472039966,w,0.5
PSO,0.00015848483516474912,w,0.6
PSO,0.0006812046170558061,w,0.7000000000000001
PSO,1.8598792409730875,w,0.8
PSO,45.78474172037628,w,0.9
PSO,122.53004790004998,w,1.0
PSO,2.009491168434907,c1,0.5
PSO,0.025166730417353518,c1,0.7222222222222222
PSO,0.0004782990469215408,c1,0.9444444444444444
PSO,0.020544268116966833,c1,1.1666666666666665
PSO,0.0011455131723356268,c1,1.3888888888888888
PSO,0.0017783064062863265,c1,1.6111111111111112
PSO,0.026238427508949218,c1,1.8333333333333333
PSO,0.3852210521881442,c1,2.0555555555555554
PSO,6.010473954027781,c1,2.2777777777777777
PSO,24.774078345941376,c1,2.5
PSO,4.514124831217762,c2,0.5
PSO,1.252650048266852,c2,0.7222222222222222
PSO,0.030363636210710518,c2,0.9444444444444444
PSO,0.005773086092577811,c2,1.1666666666666665
PSO,0.0005892971730756551,c2,1.3888888888888888
PSO,0.0009560692115264174,c2,1.6111111111111112
PSO,0.24194289267937444,c2,1.8333333333333333
PSO,2.843329891718334,c2,2.0555555555555554
PSO,5.6514425932518035,c2,2.2777777777777777
PSO,41.26820016083396,c2,2.5
ACO,7.679436335850157,rho,0.5
ACO,2.675031422968661,rho,0.5544444444444444
ACO,0.26957149221921134,rho,0.6088888888888889
ACO,0.00016116251502639817,rho,0.6633333333333333
ACO,7.137886068224577e-08,rho,0.7177777777777777
ACO,3.483187415879668e-08,rho,0.7722222222222221
ACO,9.799520588747884e-07,rho,0.8266666666666667
ACO,9.426604979949506e-05,rho,0.8811111111111111
ACO,0.005571966306644297,rho,0.9355555555555555
ACO,0.07677447049772061,rho,0.99
