algorithm_name,avg_fitness,parameter_name,parameter_value
PSO,39.22910360536509,w,0.1
PSO,26.449835533671557,w,0.2
PSO,16.626821308354476,w,0.3
PSO,7.705844354086563,w,0.4
PSO,1.2041245264390914,w,0.5
PSO,0.030539186611169604,w,0.6
PSO,1.1513726711795545e-07,w,0.7
PSO,2.6554041282818153,w,0.8
PSO,42.775826938864974,w,0.9
PSO,0.04657411925926496,c1,0.5
PSO,7.8659991347670255,c1,0.7
PSO,0.004117053456007972,c1,0.9
PSO,3.563314556623175e-05,c1,1.1
PSO,8.997381050818261e-06,c1,1.3
PSO,1.0419760309848309e-07,c1,1.5
PSO,2.0437146984029943e-06,c1,1.7
PSO,0.00022905132269118912,c1,1.9
PSO,0.019511864074395844,c1,2.1
PSO,0.9888255171087895,c1,2.3
PSO,1.730421462940258,c2,0.5
PSO,0.4604051852932627,c2,0.7
PSO,0.06200566327070471,c2,0.9
PSO,0.004584881902198108,c2,1.1
PSO,1.5898859943880742e-05,c2,1.3
PSO,1.4575122337722364e-07,c2,1.5
PSO,2.6214563190156985,c2,1.7
PSO,10.489060716202454,c2,1.9
PSO,7.970572562701906,c2,2.1
PSO,5.527008011106027,c2,2.3
FA,6.109836105556018e-09,alpha,0.2
FA,1.4090585999654532e-08,alpha,0.3
FA,2.432612968083345e-08,alpha,0.4
FA,3.958390370938868e-08,alpha,0.5
FA,5.608026387241483e-08,alpha,0.6
FA,7.924823462328486e-08,alpha,0.7
FA,1.051922562761466e-07,alpha,0.8
FA,1.354604730037525e-07,alpha,0.9
FA,7.320091536124845e-08,beta,0.1
FA,4.00060646300792e-08,beta,0.2
FA,3.015218599935015e-08,beta,0.3
FA,2.6706249219887507e-08,beta,0.4
FA,2.5312642671971875e-08,beta,0.5
FA,2.5469015873446223e-08,beta,0.6
FA,2.4985487882011614e-08,beta,0.7
FA,2.6604618390243037e-08,beta,0.8
FA,3.263494482162856e-08,beta,0.9
FA,3.7754107348096004e-08,beta,1.0
FA,5.313144647164517e-08,beta,1.1
FA,7.438303566972082e-08,beta,1.2
FA,1.2225052045619938e-07,beta,1.3
FA,1.8602974288411766e-07,beta,1.4
FA,4.010824173248856e-08,gamma,0.01
FA,3.72829567331636e-08,gamma,0.02
FA,4.151149324055406e-08,gamma,0.03
FA,42.31875462972532,gamma,0.04
FA,119.29286374384078,gamma,0.05
FA,119.47992621916903,gamma,0.06
FA,123.64677233439849,gamma,0.07
FA,118.7798848197347,gamma,0.08
FA,122.37685094599158,gamma,0.09
FA,115.11343888302869,gamma,0.1
FA,123.98599121533982,gamma,0.11
FA,122.88160964934673,gamma,0.12
FA,124.55399640838229,gamma,0.13
FA,120.68693645979974,gamma,0.14
FA,118.91142761746826,gamma,0.15
FA,119.05881414100074,gamma,0.16
FA,124.33087834305904,gamma,0.17
FA,121.20325768067661,gamma,0.18
FA,120.7080416391833,gamma,0.19
ABC,0.14236040674445619,limit,10.0
ABC,0.00021075263384284082,limit,20.0
ABC,5.0387462825673644e-05,limit,30.0
ABC,1.6717491147884613e-05,limit,40.0
ABC,1.6770101059780394e-05,limit,50.0
ABC,1.743052987461854e-05,limit,60.0
ABC,1.9826305459547524e-05,limit,70.0
ABC,1.332523669701654e-05,limit,80.0
ABC,1.3001584201180881e-05,limit,90.0
Cuckoo,0.3069096510045628,pa,0.1
Cuckoo,0.31131845524958085,pa,0.15
Cuckoo,0.30245478202390264,pa,0.2
Cuckoo,0.3758822133902597,pa,0.25
Cuckoo,0.4116725898510876,pa,0.3
Cuckoo,0.4881558084903273,pa,0.35
Cuckoo,0.4982993100283711,pa,0.4
Cuckoo,0.5580860361977577,pa,0.45
Cuckoo,0.5625245664405141,pa,0.5
Cuckoo,0.612646202953157,pa,0.55
Cuckoo,0.5921209687794458,pa,0.6
Cuckoo,0.6179413165202077,pa,0.65
Cuckoo,0.6756596609916445,pa,0.7
Cuckoo,0.6211966839721154,pa,0.75
Cuckoo,0.58358798205464,pa,0.8
Cuckoo,0.5754578006435758,pa,0.85
Cuckoo,0.3971280826057965,alpha,0.01
Cuckoo,0.012310610822030697,alpha,0.06
Cuckoo,0.0026224171222579604,alpha,0.11
Cuckoo,0.0016747726350939626,alpha,0.16
Cuckoo,0.002109226380909192,alpha,0.21
Cuckoo,0.0026580105222784338,alpha,0.26
Cuckoo,0.0038561780761934604,alpha,0.31
Cuckoo,0.00850821177773432,alpha,0.36
Cuckoo,0.01371419536446514,alpha,0.41
Cuckoo,0.02280372517797722,alpha,0.46
Cuckoo,1.2824385140177363,beta,0.3
Cuckoo,0.6010643688226789,beta,0.4
Cuckoo,0.19125210048515282,beta,0.5
Cuckoo,0.06315507675352079,beta,0.6
Cuckoo,0.03290637796932615,beta,0.7
Cuckoo,0.037818373383543116,beta,0.8
Cuckoo,0.05040974114863892,beta,0.9
Cuckoo,0.06993470407768262,beta,1.0
Cuckoo,0.11334062764557806,beta,1.1
Cuckoo,0.15483709608993185,beta,1.2
Cuckoo,0.2175812170303478,beta,1.3
Cuckoo,0.32405199177492017,beta,1.4
Cuckoo,0.4250718694087105,beta,1.5
Cuckoo,0.4853989792332435,beta,1.6
Cuckoo,0.6110804382175098,beta,1.7
Cuckoo,0.673320770656354,beta,1.8
Cuckoo,0.7374698386046552,beta,1.9
