algorithm_name,parameter_name,parameter_value,avg_fitness,std_fitness
ACO,rho,0.5,9.252742248495501,5.042727529827753
ACO,rho,0.55,3.7549496362691803,1.865353699520843
ACO,rho,0.6,0.5048047412754372,0.5808932732141813
ACO,rho,0.65,0.00037406323759830187,0.0010012322370330953
ACO,rho,0.7,7.301072743324106e-13,1.1788798814821432e-12
ACO,rho,0.75,6.641935844979549e-15,1.0526957369453815e-14
ACO,rho,0.8,1.3293715109329508e-13,1.161384818712352e-13
ACO,rho,0.85,3.377420054625094e-11,3.050271396829218e-11
ACO,rho,0.9,6.518330227506382e-08,6.947036723453647e-08
ACO,rho,0.95,4.416089798370301e-05,0.00010007908649020912
ACO,rho,1.0,0.0019067859912441885,0.0020769752776727845
