DIM,Algorithm,Mean Fitness,Mean Time (s),Mean Space (bytes)
1,FA,2.496462276429014e-09,21.53178893327713,4128.0
1,ABC,8.821220002067797e-15,0.16580297549565634,4128.0
1,Cuckoo,7.108968190822681e-09,0.049179212252298994,120.0
1,PSO,2.459707522187739e-09,0.02198711633682251,128.0
1,HC,3.667051635204743e-08,0.01618740161259969,120.0
1,GA,9.32487747587721e-09,0.025566748778025308,120.0
1,SA,2.3492209044439614e-09,0.02232522169748942,128.0
1,ACO,6.582275160629223e-20,0.018032006422678628,128.0
10,FA,0.7673786124606538,15.103114072481791,40128.0
10,ABC,0.25406105396896084,0.15456570784250895,40128.0
10,Cuckoo,7.67503500047612,0.04069557984670003,192.0
10,PSO,0.3853737827367785,0.021100302537282307,272.0
10,HC,0.5329763718084565,0.03833453257878621,192.0
10,GA,22.45175782062563,0.01865220069885254,192.0
10,SA,23.438523818755606,0.01832570234934489,272.0
10,ACO,0.02466011873086211,0.04918667475382487,272.0
30,FA,11.996931121143026,16.21813470919927,120128.0
30,ABC,89.31252025198134,0.2142168402671814,120128.0
30,Cuckoo,100.87056261594074,0.04985079367955526,352.0
30,PSO,18.077147336098594,0.02288743257522583,592.0
30,HC,9.611999632784613,0.05797091325124105,352.0
30,GA,115.4827964859497,0.023979377746582032,352.0
30,SA,174.81307465067536,0.019850003719329833,592.0
30,ACO,36.282538781379735,0.12448820670445761,592.0
