Test Case,Algorithm,Mean Value,Mean Weight,Solution,Mean Time (s),Mean Space (bytes)
test_case_5,ABC,47.0,15.0,	10110,0.2505892515182495,192.0
test_case_5,FA,56.2,18.4,	10111,0.08641533851623535,192.0
test_case_5,Cuckoo,47.0,15.0,	10110,0.16934804916381835,192.0
test_case_5,PSO,44.1,14.2,	10110,0.1084207534790039,192.0
test_case_5,ACO,47.0,15.0,	10110,0.4772881746292114,192.0
test_case_5,HC,38.0,13.0,	00101,0.10522630214691162,192.0
test_case_5,SA,46.5,14.8,	10110,0.0022873878479003906,192.0
test_case_5,GA,47.0,15.0,	10110,0.3276622533798218,152.0
test_case_10,ABC,70.0,24.0,	1100000011,0.25995497703552245,272.0
test_case_10,FA,74.0,26.0,	1100000011,0.1174431562423706,272.0
test_case_10,Cuckoo,70.0,24.0,	1100000011,0.25481209754943845,272.0
test_case_10,PSO,54.7,20.4,	0010010011,0.24554176330566407,272.0
test_case_10,ACO,70.0,24.0,	1100000011,0.6941534519195557,272.0
test_case_10,HC,56.2,24.9,	0010000100,0.13358662128448487,272.0
test_case_10,SA,66.9,24.2,	0010010011,0.002972316741943359,272.0
test_case_10,GA,70.0,24.0,	0010010011,0.28940088748931886,192.0
test_case_20,ABC,230.2,49.6,	01000001000000001011,0.2726393938064575,432.0
test_case_20,FA,231.2,47.6,	01100011010100101001,0.9439653396606446,432.0
test_case_20,Cuckoo,231.6,46.8,	01100011010100101001,1.1284292459487915,432.0
test_case_20,PSO,147.7,44.4,	01000001000000001011,0.39583580493927,432.0
test_case_20,ACO,232.0,46.0,	01100011010100101001,1.3363065719604492,432.0
test_case_20,HC,149.3,50.0,	00100000000010000010,0.14109508991241454,432.0
test_case_20,SA,216.7,49.8,	01100001000100101010,0.0034190654754638673,432.0
test_case_20,GA,232.0,46.0,	01100011010100101001,0.34363853931427,272.0
test_case_30,ABC,223.0,80.0,	000000011100001011110000001111,0.326143479347229,592.0
test_case_30,FA,223.0,80.0,	000010011100000011110000001111,3.181300687789917,592.0
test_case_30,Cuckoo,222.8,80.0,	000001111100010011110000001110,0.30586221218109133,592.0
test_case_30,PSO,209.8,77.2,	010011001110010011010000000111,0.2853573799133301,592.0
test_case_30,ACO,222.4,80.0,	000000111100000010110100011111,1.9685134410858154,592.0
test_case_30,HC,214.0,78.0,	000010001100001001110000100111,0.10534412860870361,592.0
test_case_30,SA,218.1,80.0,	000110111001000011100000101011,0.002440142631530762,592.0
test_case_30,GA,221.4,80.0,	000100011100000011110001000111,0.235650634765625,352.0
