DIM,Algorithm,Mean Fitness,Mean Time (s),Mean Space (bytes)
10,FA,2.497745337927377e-09,4.608137035369873,272.0
10,ABC,3.8931254467231794e-17,0.3541449308395386,272.0
10,Cuckoo,1.66245914034113e-05,0.20916106700897216,272.0
10,PSO,4.242648380632404e-22,0.04470548629760742,272.0
10,HC,0.26728050499402733,0.8654729843139648,272.0
10,GA,0.01342514549349472,0.11596529483795166,192.0
10,SA,44.31753319603932,0.0022942781448364257,272.0
10,ACO,9.1462830709254e-47,0.8743311643600464,272.0
30,FA,4.567322170895578e-08,4.53345947265625,592.0
30,ABC,2.8248516445439105e-05,0.3535771369934082,592.0
30,Cuckoo,0.49820653272941257,0.25858583450317385,592.0
30,PSO,1.1149398867460179e-06,0.043422579765319824,592.0
30,HC,3.97495213083423,0.895607590675354,592.0
30,GA,0.3646328188067743,0.12846682071685792,352.0
30,SA,247.20522309581875,0.002426552772521973,592.0
30,ACO,1.9950282524353093e-11,2.3648801326751707,592.0
50,FA,1.488354189966764e-07,4.705472946166992,912.0
50,ABC,0.001924096700490528,0.3731400728225708,912.0
50,Cuckoo,3.0852381683812675,0.260444712638855,912.0
50,PSO,26.432855707636218,0.047238612174987794,912.0
50,HC,12.039884717786693,0.9583449602127075,912.0
50,GA,6.023341723803176,0.12895517349243163,512.0
50,SA,427.443629930228,0.0025050163269042967,912.0
50,ACO,0.0001375820180728356,3.574943780899048,912.0
