Algo,DIM,POP,Fitness,Time (s),Space (bytes)
FA,10,50,3.8647863468099976e-08,3.4609856605529785,4000
ABC,10,50,3.8327411584273936e-14,0.2773616313934326,4000
Cuckoo,10,50,0.00014962256056925022,0.06989693641662598,80
PSO,10,50,1.7855060552250613e-18,0.029931068420410156,80
HC,10,50,0.7938372711405729,0.021806001663208008,80
GA,10,50,0.004350461606704579,0.03645515441894531,80
SA,10,50,1.014252543477826,0.152130126953125,80
FA,10,100,3.3111406706750356e-08,13.870053052902222,8000
ABC,10,100,1.3326103852611203e-14,0.5248291492462158,8000
Cuckoo,10,100,0.00014321964007657764,0.12311720848083496,80
PSO,10,100,4.677538907164908e-20,0.0587007999420166,80
HC,10,100,0.7938372711405729,0.020481348037719727,80
GA,10,100,0.003203253585898659,0.06172609329223633,80
SA,10,100,1.014252543477826,0.1471118927001953,80
FA,10,200,2.222850447599972e-08,63.510820150375366,16000
ABC,10,200,3.186135141240253e-14,1.0630676746368408,16000
Cuckoo,10,200,0.00029550678677352416,0.26608729362487793,80
PSO,10,200,4.373265055760691e-22,0.12459039688110352,80
HC,10,200,0.7938372711405729,0.025178909301757812,80
GA,10,200,0.000773341781680178,0.12604212760925293,80
SA,10,200,1.014252543477826,0.14486432075500488,80
FA,30,50,7.55137121798572e-07,3.5183515548706055,12000
ABC,30,50,1.7294476995921163e-05,0.26825952529907227,12000
Cuckoo,30,50,0.4296428374296576,0.08733558654785156,240
PSO,30,50,2.9496544063186096e-06,0.03680014610290527,240
HC,30,50,6.951017560569533,0.03435921669006348,240
GA,30,50,0.49704233107971646,0.04417729377746582,240
SA,30,50,7.645287743028775,0.15837597846984863,240
FA,30,100,7.901188595635085e-07,14.144197225570679,24000
ABC,30,100,9.65610638030588e-06,0.5000472068786621,24000
Cuckoo,30,100,1.7858681282512843,0.1652834415435791,240
PSO,30,100,2.605715877909596e-08,0.07314324378967285,240
HC,30,100,6.951017560569533,0.034064531326293945,240
GA,30,100,0.36020057473617756,0.07323527336120605,240
SA,30,100,7.645287743028775,0.15831565856933594,240
FA,30,200,4.684498352279927e-07,59.271793842315674,48000
ABC,30,200,8.780852999191787e-06,1.8256361484527588,48000
Cuckoo,30,200,2.1683484925166496,0.5235147476196289,240
PSO,30,200,1.4833240987429153e-10,0.1879584789276123,240
HC,30,200,6.951017560569533,0.03458356857299805,240
GA,30,200,0.2276633009040849,0.1366868019104004,240
SA,30,200,7.645287743028775,0.15704131126403809,240
FA,100,50,631.1794073882593,4.0114805698394775,40000
ABC,100,50,64.97947042393511,0.27248692512512207,40000
Cuckoo,100,50,27.45933673462495,0.1436152458190918,800
PSO,100,50,46.310748432731586,0.05216383934020996,800
HC,100,50,97.1886869257735,0.07836389541625977,800
GA,100,50,75.40479180275767,0.05156445503234863,800
SA,100,50,69.34157779483647,0.16552066802978516,800
FA,100,100,609.3918823508495,16.09119963645935,80000
ABC,100,100,29.043303361053816,0.5613217353820801,80000
Cuckoo,100,100,49.56927832808129,0.2767801284790039,800
PSO,100,100,8.397990999850752,0.09921669960021973,800
HC,100,100,97.1886869257735,0.07772374153137207,800
GA,100,100,84.04799103062066,0.09227824211120605,800
SA,100,100,69.34157779483647,0.17374348640441895,800
FA,100,200,595.5032325667194,91.82366895675659,160000
ABC,100,200,49.975585933728304,1.4204983711242676,160000
Cuckoo,100,200,55.949601411337305,0.6070196628570557,800
PSO,100,200,2.015963629474569,0.25405097007751465,800
HC,100,200,97.1886869257735,0.0929107666015625,800
GA,100,200,67.58321910771666,0.20109224319458008,800
SA,100,200,69.34157779483647,0.19546723365783691,800
